"id","phrase"
"1","A arrogância atrai o ódio e a inveja.
A elegância desperta o respeito e o amor."
"2","A felicidade não é um destino. É um estilo de vida."
"3","A grande sabedoria da vida é compreender que podemos ser os senhores das coisas que tencionavam escravizar-nos."
"4","A melhor maneira de melhorar o padrão de vida está em melhorar o padrão de pensamento."
"5","Amor é apenas uma palavra, até que alguém chega para lhe dar um sentido."
"6","As pequenas coisas são responsáveis pelas grandes mudanças."
"7","As pessoas dizem frequentemente que a motivação não dura. Bem, nem o banho e é por isso que ele é recomendado diariamente."
"8","As pessoas raramente reconhecem a oportunidade porque ela surge disfarçada em trabalho árduo."
"9","É preciso correr riscos. Só percebemos realmente o milagre da vida quando deixamos que o inesperado aconteça."
"10","Carrego muitas cicatrizes, mas também carrego momentos que nunca teriam acontecido se eu não tivesse ousado ir além dos meus limites."
"11","Costumamos não dar valor às coisas que fazemos todos os dias, mas são elas que estão a transformar o mundo à nossa volta."
"12","Deite cá para fora tudo o que está a sentir e irá renovar-se."
"13","Entre a espada e a parede, há sempre um espaço onde os mais ágeis conseguem passar."
"14","Esperar dói. Esquecer dói. Mas não saber que decisão tomar é o pior dos sofrimentos..."
"15","Mais vale sujar-se um pouco andando, do que morrer sentado."
"16","Motivando o próximo, continuo mantendo me motivado."
"17","Não existe vitória nem derrota no ciclo da natureza: existe movimento."
"18","Não me queixarei da vida dizendo: é tudo igual, não posso fazer nada para mudar. Porque estou a viver este dia como se fosse o primeiro e, ao longo dele, descobrirei coisas que nunca soube que estavam ali."
"19","Ninguém pode voltar atrás, mas todos podem seguir em frente. E amanhã, quando o sol nascer, basta que repitam para si próprios: eu vou olhar para este dia como se fosse o primeiro da minha vida."
"20","Ninguém sabe o que vai acontecer no minuto seguinte e, mesmo assim, as pessoas andam para a frente. Porque confiam. Porque tem fé."
"21","Nunca é tarde para tentar o desconhecido. Nunca é tarde para ir mais além."
"22","O sucesso é como o ar que respiramos, está ao nosso redor, em toda a parte, todos nós em uma condição normal temos acesso a ele e de forma ilimitada, as oportunidades são iguais para todos, a grande diferença é que alguns respiram fundo e seguem adiante, outros perdem o fôlego e desistem."
"23","O sucesso na vida não depende de receber boas cartas, mas de jogar bem as cartas ruins."
"24","O sucesso não vem do reconhecimento alheio. Ele é o resultado daquilo que plantaste com amor. Quando chega a altura de colher, podes dizer para ti próprio: ""CONSEGUI""!"
"25","Quando menos esperamos, a vida coloca diante de nós um desafio para testar a nossa coragem e a nossa vontade de mudança."
"26","Quando nasceste, todos riam e só tu choravas, vive de tal modo que quando morreres todos chorem e só tu rias."
"27","Que possamos ter humildade na hora de receber e alegria no momento de dar."
"28","Quem quer fazer encontra uma solução, quem não quer encontra uma desculpa."
"29","Só compreende a própria dignidade aquele que foi capaz de honrar cada um dos seus passos."
"30","Um grande prazer na vida é fazer aquilo que as pessoas dizem que não é capaz de fazer."
